order_id,order_date,sales_qty,sales_amount,restaurant_id,order_status,table_no,order_type,customer_name,customer_address,customer_phone,courier_id
81,"2025-12-02 17:02:07",5,200,473193,pending,5,Dine-in,NULL,NULL,NULL,NULL
82,"2025-11-30 17:04:26",6,1290,167412,completed,10,Dine-in,NULL,NULL,NULL,NULL
83,"2025-12-19 12:15:48",5,240,503717,canceled,4,Dine-in,NULL,NULL,NULL,NULL
84,"2025-12-20 12:05:42",9,1830,165530,canceled,6,Dine-in,NULL,NULL,NULL,NULL
85,"2025-12-13 13:41:08",7,910,255925,canceled,4,Dine-in,NULL,NULL,NULL,NULL
86,"2025-12-07 10:08:34",1,150,225921,canceled,15,Dine-in,NULL,NULL,NULL,NULL
87,"2025-11-24 11:39:28",7,695,549242,completed,8,Dine-in,NULL,NULL,NULL,NULL
88,"2025-12-12 17:51:37",7,2124,321587,completed,1,Dine-in,NULL,NULL,NULL,NULL
89,"2025-11-26 20:19:42",9,1749,439487,canceled,1,Dine-in,NULL,NULL,NULL,NULL
90,"2025-12-12 14:03:40",2,290,397980,canceled,1,Dine-in,NULL,NULL,NULL,NULL
91,"2025-12-13 11:19:13",7,2093,304302,canceled,9,Dine-in,NULL,NULL,NULL,NULL
92,"2025-12-04 16:25:06",7,920,533186,completed,15,Dine-in,NULL,NULL,NULL,NULL
93,"2025-12-09 14:07:51",9,1340,478348,canceled,7,Dine-in,NULL,NULL,NULL,NULL
94,"2025-12-01 11:23:56",1,80,138890,completed,2,Dine-in,NULL,NULL,NULL,NULL
95,"2025-12-09 16:36:08",7,760,553999,completed,13,Dine-in,NULL,NULL,NULL,NULL
96,"2025-11-22 14:48:54",3,720,410839,completed,16,Dine-in,NULL,NULL,NULL,NULL
97,"2025-12-23 14:16:06",11,2555,137701,pending,6,Dine-in,NULL,NULL,NULL,NULL
98,"2025-12-09 16:53:50",6,200,575990,canceled,11,Dine-in,NULL,NULL,NULL,NULL
99,"2025-11-29 19:40:50",6,1590,410838,pending,16,Dine-in,NULL,NULL,NULL,NULL
100,"2025-12-04 13:42:42",4,540,397258,pending,8,Dine-in,NULL,NULL,NULL,NULL
101,"2025-12-21 11:31:00",5,600,133352,canceled,12,Dine-in,NULL,NULL,NULL,NULL
102,"2025-12-11 18:26:53",10,4059,150497,pending,14,Dine-in,NULL,NULL,NULL,NULL
103,"2025-12-16 11:41:27",1,250,383716,pending,7,Dine-in,NULL,NULL,NULL,NULL
104,"2025-12-14 17:06:37",6,1714.28,113948,canceled,2,Dine-in,NULL,NULL,NULL,NULL
105,"2025-11-25 16:28:43",8,2115,431552,completed,10,Dine-in,NULL,NULL,NULL,NULL
106,"2025-12-20 21:03:45",5,924.48,412357,completed,1,Dine-in,NULL,NULL,NULL,NULL
107,"2025-11-24 21:52:37",4,460,102037,canceled,17,Dine-in,NULL,NULL,NULL,NULL
108,"2025-11-24 12:11:48",8,420,578207,canceled,18,Dine-in,NULL,NULL,NULL,NULL
109,"2025-11-30 21:21:12",4,460,565260,pending,2,Dine-in,NULL,NULL,NULL,NULL
110,"2025-12-09 12:10:36",3,1047,101351,pending,3,Dine-in,NULL,NULL,NULL,NULL
111,"2025-11-29 10:49:24",9,1650,480203,canceled,8,Dine-in,NULL,NULL,NULL,NULL
112,"2025-12-09 19:35:11",3,677,102842,completed,15,Dine-in,NULL,NULL,NULL,NULL
113,"2025-12-20 19:27:44",10,1290,138891,canceled,12,Dine-in,NULL,NULL,NULL,NULL
114,"2025-11-29 16:33:10",10,1720,143143,canceled,14,Dine-in,NULL,NULL,NULL,NULL
115,"2025-12-10 14:22:36",5,800,558957,pending,14,Dine-in,NULL,NULL,NULL,NULL
116,"2025-12-17 12:13:30",2,378,489011,completed,7,Dine-in,NULL,NULL,NULL,NULL
117,"2025-12-14 19:59:43",7,1720,428013,completed,14,Dine-in,NULL,NULL,NULL,NULL
118,"2025-12-04 17:18:04",4,450,116273,completed,9,Dine-in,NULL,NULL,NULL,NULL
119,"2025-12-12 16:31:14",10,1830,478936,completed,1,Dine-in,NULL,NULL,NULL,NULL
120,"2025-11-25 20:41:56",4,750,477627,canceled,6,Dine-in,NULL,NULL,NULL,NULL
121,"2025-11-28 19:56:01",2,380.96,437616,canceled,5,Dine-in,NULL,NULL,NULL,NULL
122,"2025-12-18 15:34:16",9,884,550910,pending,12,Dine-in,NULL,NULL,NULL,NULL
123,"2025-12-18 20:03:17",4,1166,342366,canceled,6,Dine-in,NULL,NULL,NULL,NULL
124,"2025-12-06 19:33:38",9,1495,557008,canceled,12,Dine-in,NULL,NULL,NULL,NULL
125,"2025-11-23 15:38:21",1,57.14,97199,completed,2,Dine-in,NULL,NULL,NULL,NULL
126,"2025-12-21 21:30:51",11,3455,134569,canceled,14,Dine-in,NULL,NULL,NULL,NULL
127,"2025-12-19 14:39:14",1,90,183009,canceled,3,Dine-in,NULL,NULL,NULL,NULL
128,"2025-12-04 10:43:35",2,430,174586,canceled,7,Dine-in,NULL,NULL,NULL,NULL
129,"2025-12-16 11:40:14",1,45,494588,pending,5,Dine-in,NULL,NULL,NULL,NULL
130,"2025-11-29 16:10:24",7,1750,102042,pending,8,Dine-in,NULL,NULL,NULL,NULL
131,"2025-12-19 11:51:21",9,1412,431339,completed,10,Dine-in,NULL,NULL,NULL,NULL
132,"2025-12-07 12:45:32",8,1145,109550,pending,3,Dine-in,NULL,NULL,NULL,NULL
133,"2025-11-23 18:13:38",12,1288.14,477628,pending,8,Dine-in,NULL,NULL,NULL,NULL
134,"2025-12-20 18:51:36",10,1713,129550,canceled,13,Dine-in,NULL,NULL,NULL,NULL
135,"2025-12-07 17:37:05",5,905,387674,canceled,20,Dine-in,NULL,NULL,NULL,NULL
136,"2025-12-12 21:30:38",11,2140,183165,pending,2,Dine-in,NULL,NULL,NULL,NULL
137,"2025-12-05 20:41:53",9,2250,310273,pending,10,Dine-in,NULL,NULL,NULL,NULL
138,"2025-12-21 16:57:34",11,2519.04,293915,canceled,1,Dine-in,NULL,NULL,NULL,NULL
139,"2025-12-13 12:42:12",2,250,131676,completed,14,Dine-in,NULL,NULL,NULL,NULL
140,"2025-11-28 14:38:17",11,1220,109258,pending,9,Dine-in,NULL,NULL,NULL,NULL
141,"2025-12-11 13:04:48",3,1102.45,483552,canceled,1,Dine-in,NULL,NULL,NULL,NULL
142,"2025-12-07 11:29:11",3,600,517939,pending,5,Dine-in,NULL,NULL,NULL,NULL
143,"2025-12-14 20:11:32",5,1070,154840,completed,10,Dine-in,NULL,NULL,NULL,NULL
144,"2025-12-05 20:30:07",11,790,494001,pending,12,Dine-in,NULL,NULL,NULL,NULL
145,"2025-12-03 19:56:01",8,400,489362,completed,2,Dine-in,NULL,NULL,NULL,NULL
146,"2025-12-07 16:09:45",13,2080,510109,completed,11,Dine-in,NULL,NULL,NULL,NULL
147,"2025-12-14 11:00:42",13,1320,249335,pending,12,Dine-in,NULL,NULL,NULL,NULL
148,"2025-12-04 20:34:15",3,346,174458,completed,3,Dine-in,NULL,NULL,NULL,NULL
149,"2025-12-04 11:49:10",2,300,129691,completed,2,Dine-in,NULL,NULL,NULL,NULL
150,"2025-12-13 11:23:06",9,1300,139864,canceled,8,Dine-in,NULL,NULL,NULL,NULL
151,"2025-12-01 11:27:59",5,895,486482,pending,4,Dine-in,NULL,NULL,NULL,NULL
152,"2025-12-07 13:10:40",4,175,109839,canceled,5,Dine-in,NULL,NULL,NULL,NULL
153,"2025-12-11 21:29:22",8,2475,102219,completed,7,Dine-in,NULL,NULL,NULL,NULL
154,"2025-12-05 21:54:49",8,2325,364571,canceled,13,Dine-in,NULL,NULL,NULL,NULL
155,"2025-12-06 11:06:02",1,100,413342,canceled,17,Dine-in,NULL,NULL,NULL,NULL
156,"2025-12-10 15:45:43",5,780,387177,canceled,14,Dine-in,NULL,NULL,NULL,NULL
157,"2025-12-11 11:30:28",8,2230,141706,pending,2,Dine-in,NULL,NULL,NULL,NULL
158,"2025-11-29 12:15:12",11,850,501701,pending,5,Dine-in,NULL,NULL,NULL,NULL
159,"2025-12-12 16:44:36",9,1245,456922,canceled,9,Dine-in,NULL,NULL,NULL,NULL
160,"2025-12-07 12:57:24",8,565,102582,canceled,11,Dine-in,NULL,NULL,NULL,NULL
161,"2025-12-18 16:33:15",9,2160,405031,canceled,5,Dine-in,NULL,NULL,NULL,NULL
162,"2025-12-10 21:54:01",3,627,263185,pending,10,Dine-in,NULL,NULL,NULL,NULL
163,"2025-12-06 13:50:20",5,1200,109549,pending,10,Dine-in,NULL,NULL,NULL,NULL
164,"2025-12-16 17:29:39",1,200,487422,completed,15,Dine-in,NULL,NULL,NULL,NULL
165,"2025-11-30 11:57:14",2,250,163436,pending,17,Dine-in,NULL,NULL,NULL,NULL
166,"2025-11-30 21:17:13",7,1890,282630,completed,13,Dine-in,NULL,NULL,NULL,NULL
167,"2025-11-28 12:34:24",6,1474,255651,pending,5,Dine-in,NULL,NULL,NULL,NULL
168,"2025-12-12 13:00:21",2,498,549624,canceled,7,Dine-in,NULL,NULL,NULL,NULL
169,"2025-11-24 17:18:35",4,108,413451,canceled,16,Dine-in,NULL,NULL,NULL,NULL
170,"2025-11-26 13:31:52",7,1261,523044,canceled,11,Dine-in,NULL,NULL,NULL,NULL
171,"2025-12-19 17:43:36",8,1670,102038,completed,7,Dine-in,NULL,NULL,NULL,NULL
172,"2025-12-14 14:02:24",4,750,403754,pending,1,Dine-in,NULL,NULL,NULL,NULL
173,"2025-12-06 19:01:11",5,1085,545808,completed,5,Dine-in,NULL,NULL,NULL,NULL
174,"2025-11-26 18:58:45",1,85,439417,canceled,14,Dine-in,NULL,NULL,NULL,NULL
175,"2025-12-10 15:50:14",9,1290,390478,completed,1,Dine-in,NULL,NULL,NULL,NULL
176,"2025-12-18 12:14:55",11,2795,103649,pending,6,Dine-in,NULL,NULL,NULL,NULL
177,"2025-12-16 15:43:54",2,90,430451,canceled,10,Dine-in,NULL,NULL,NULL,NULL
178,"2025-11-23 19:54:45",11,1690,518548,completed,8,Dine-in,NULL,NULL,NULL,NULL
179,"2025-12-05 18:22:02",9,1435,518819,canceled,11,Dine-in,NULL,NULL,NULL,NULL
180,"2025-12-03 10:05:57",8,1262,447526,pending,11,Dine-in,NULL,NULL,NULL,NULL
181,"2025-12-10 21:23:40",4,990,102579,canceled,3,Dine-in,NULL,NULL,NULL,NULL
182,"2025-11-30 18:40:30",2,390,126128,canceled,1,Dine-in,NULL,NULL,NULL,NULL
183,"2025-12-12 19:11:28",3,450,518803,canceled,13,Dine-in,NULL,NULL,NULL,NULL
184,"2025-12-03 17:55:52",11,1465,377434,pending,2,Dine-in,NULL,NULL,NULL,NULL
185,"2025-12-06 10:04:55",2,450,442180,completed,11,Dine-in,NULL,NULL,NULL,NULL
186,"2025-12-02 10:37:02",3,1250,129551,completed,9,Dine-in,NULL,NULL,NULL,NULL
187,"2025-12-19 12:50:24",5,870,577891,pending,11,Dine-in,NULL,NULL,NULL,NULL
188,"2025-11-29 10:20:56",5,2160,462172,completed,8,Dine-in,NULL,NULL,NULL,NULL
189,"2025-12-21 15:13:26",10,3012,104481,pending,6,Dine-in,NULL,NULL,NULL,NULL
190,"2025-12-11 11:04:25",3,270,536499,completed,7,Dine-in,NULL,NULL,NULL,NULL
191,"2025-12-21 11:41:44",7,1300,532670,canceled,10,Dine-in,NULL,NULL,NULL,NULL
192,"2025-12-20 15:15:29",12,2640,113036,canceled,8,Dine-in,NULL,NULL,NULL,NULL
193,"2025-12-17 19:12:13",10,2255,536328,canceled,3,Dine-in,NULL,NULL,NULL,NULL
194,"2025-12-17 16:14:38",4,630,109548,pending,14,Dine-in,NULL,NULL,NULL,NULL
195,"2025-12-04 13:36:33",5,926,364627,pending,9,Dine-in,NULL,NULL,NULL,NULL
196,"2025-12-15 21:18:52",4,1055,104147,completed,6,Dine-in,NULL,NULL,NULL,NULL
197,"2025-12-09 19:44:42",6,910,553404,pending,3,Dine-in,NULL,NULL,NULL,NULL
198,"2025-12-01 12:46:53",4,1170.42,271964,canceled,15,Dine-in,NULL,NULL,NULL,NULL
199,"2025-12-03 18:40:20",9,2376,102041,pending,4,Dine-in,NULL,NULL,NULL,NULL
200,"2025-12-14 21:01:01",4,700,497063,completed,17,Dine-in,NULL,NULL,NULL,NULL
201,"2025-12-08 15:04:05",3,667,378028,completed,11,Dine-in,NULL,NULL,NULL,NULL
202,"2025-12-14 14:17:23",6,570,549633,canceled,4,Dine-in,NULL,NULL,NULL,NULL
203,"2025-12-15 16:14:43",1,35,143194,canceled,5,Dine-in,NULL,NULL,NULL,NULL
204,"2025-12-10 16:21:23",9,1415,327008,completed,13,Dine-in,NULL,NULL,NULL,NULL
205,"2025-11-28 11:02:47",9,1113,497638,pending,12,Dine-in,NULL,NULL,NULL,NULL
206,"2025-11-24 20:09:49",5,375,580202,pending,12,Dine-in,NULL,NULL,NULL,NULL
207,"2025-12-02 21:40:41",6,66,377292,pending,5,Dine-in,NULL,NULL,NULL,NULL
208,"2025-12-12 13:54:01",10,2885,102571,pending,13,Dine-in,NULL,NULL,NULL,NULL
209,"2025-12-12 18:28:00",2,375,476303,pending,12,Dine-in,NULL,NULL,NULL,NULL
210,"2025-11-23 16:37:58",3,750,451742,pending,1,Dine-in,NULL,NULL,NULL,NULL
211,"2025-11-28 17:45:49",1,275,451743,completed,17,Dine-in,NULL,NULL,NULL,NULL
212,"2025-12-19 16:55:14",5,790,116272,completed,3,Dine-in,NULL,NULL,NULL,NULL
213,"2025-12-04 21:18:43",4,935,102581,canceled,5,Dine-in,NULL,NULL,NULL,NULL
214,"2025-12-16 21:47:52",3,420,508701,completed,11,Dine-in,NULL,NULL,NULL,NULL
215,"2025-12-02 11:03:14",1,110,549383,completed,19,Dine-in,NULL,NULL,NULL,NULL
216,"2025-12-14 15:52:33",9,1390,440950,completed,12,Dine-in,NULL,NULL,NULL,NULL
217,"2025-12-21 12:13:05",1,645,355561,canceled,2,Dine-in,NULL,NULL,NULL,NULL
218,"2025-12-17 15:27:44",6,551,462505,pending,1,Dine-in,NULL,NULL,NULL,NULL
219,"2025-12-21 18:39:25",4,500,186264,pending,12,Dine-in,NULL,NULL,NULL,NULL
220,"2025-12-18 12:53:56",7,1900,211142,completed,4,Dine-in,NULL,NULL,NULL,NULL
221,"2025-12-06 10:31:24",5,710,489422,completed,4,Dine-in,NULL,NULL,NULL,NULL
222,"2025-12-11 15:55:11",3,297,401391,pending,5,Dine-in,NULL,NULL,NULL,NULL
223,"2025-12-09 14:01:47",2,174,354669,canceled,6,Dine-in,NULL,NULL,NULL,NULL
224,"2025-12-10 12:23:19",3,720,519622,pending,2,Dine-in,NULL,NULL,NULL,NULL
225,"2025-12-04 21:51:18",5,1555,153339,completed,8,Dine-in,NULL,NULL,NULL,NULL
226,"2025-12-04 14:06:32",5,950,443028,completed,3,Dine-in,NULL,NULL,NULL,NULL
227,"2025-12-18 18:58:46",3,420,226773,completed,11,Dine-in,NULL,NULL,NULL,NULL
228,"2025-12-12 18:34:13",1,150,385197,completed,5,Dine-in,NULL,NULL,NULL,NULL
229,"2025-12-07 13:54:50",1,120,431115,canceled,11,Dine-in,NULL,NULL,NULL,NULL
230,"2025-12-10 15:51:29",10,494,508583,pending,7,Dine-in,NULL,NULL,NULL,NULL
231,"2025-12-09 15:32:55",4,436,132538,canceled,1,Dine-in,NULL,NULL,NULL,NULL
232,"2025-12-01 20:10:11",4,315,394140,completed,8,Dine-in,NULL,NULL,NULL,NULL
233,"2025-11-28 20:12:11",6,280,124500,canceled,18,Dine-in,NULL,NULL,NULL,NULL
234,"2025-12-05 18:30:20",7,560,370259,completed,4,Dine-in,NULL,NULL,NULL,NULL
235,"2025-11-27 21:55:08",8,700,533855,completed,8,Dine-in,NULL,NULL,NULL,NULL
236,"2025-12-17 20:04:40",7,1260,125180,pending,5,Dine-in,NULL,NULL,NULL,NULL
237,"2025-11-26 12:37:58",10,2720,263297,completed,2,Dine-in,NULL,NULL,NULL,NULL
238,"2025-11-28 16:55:49",9,3200,410629,pending,14,Dine-in,NULL,NULL,NULL,NULL
239,"2025-12-05 12:45:13",3,210,461084,pending,2,Dine-in,NULL,NULL,NULL,NULL
240,"2025-12-06 14:58:39",12,2190,499377,canceled,10,Dine-in,NULL,NULL,NULL,NULL
241,"2025-11-30 14:37:36",12,1725,390901,canceled,4,Dine-in,NULL,NULL,NULL,NULL
242,"2025-12-06 18:12:01",12,1615,127306,completed,10,Dine-in,NULL,NULL,NULL,NULL
243,"2025-12-06 13:07:21",10,2180,111386,pending,15,Dine-in,NULL,NULL,NULL,NULL
244,"2025-12-16 13:00:42",10,1186,308169,pending,4,Dine-in,NULL,NULL,NULL,NULL
245,"2025-12-19 15:41:26",6,1350,537808,pending,11,Dine-in,NULL,NULL,NULL,NULL
246,"2025-12-14 17:25:05",3,234,433648,canceled,7,Dine-in,NULL,NULL,NULL,NULL
247,"2025-12-14 18:01:09",3,385,115931,completed,2,Dine-in,NULL,NULL,NULL,NULL
248,"2025-11-22 15:50:30",8,490,579047,pending,1,Dine-in,NULL,NULL,NULL,NULL
249,"2025-12-03 15:09:02",10,3450,174464,completed,8,Dine-in,NULL,NULL,NULL,NULL
250,"2025-12-13 18:13:40",1,75,163435,pending,15,Dine-in,NULL,NULL,NULL,NULL
251,"2025-12-21 11:41:17",11,1935,417015,canceled,9,Dine-in,NULL,NULL,NULL,NULL
252,"2025-11-28 17:45:25",6,514.26,376602,canceled,5,Dine-in,NULL,NULL,NULL,NULL
253,"2025-11-22 19:43:16",2,598,546139,pending,2,Dine-in,NULL,NULL,NULL,NULL
254,"2025-12-10 11:20:03",12,2097,102578,completed,11,Dine-in,NULL,NULL,NULL,NULL
255,"2025-12-08 11:30:29",2,224,503432,canceled,16,Dine-in,NULL,NULL,NULL,NULL
256,"2025-11-22 13:32:14",3,420,514288,canceled,11,Dine-in,NULL,NULL,NULL,NULL
257,"2025-12-19 11:09:46",10,740,552372,pending,6,Dine-in,NULL,NULL,NULL,NULL
258,"2025-12-10 17:12:07",9,5835,385938,canceled,12,Dine-in,NULL,NULL,NULL,NULL
259,"2025-12-16 18:31:18",11,1280,164297,completed,3,Dine-in,NULL,NULL,NULL,NULL
260,"2025-12-17 19:00:09",4,130,579040,completed,7,Dine-in,NULL,NULL,NULL,NULL
261,"2025-12-09 17:26:54",9,3296,539663,completed,6,Dine-in,NULL,NULL,NULL,NULL
262,"2025-12-02 20:14:01",6,1075,120193,pending,7,Dine-in,NULL,NULL,NULL,NULL
263,"2025-12-14 14:49:22",9,2317,102631,pending,15,Dine-in,NULL,NULL,NULL,NULL
264,"2025-12-08 15:24:50",5,680.95,189441,pending,13,Dine-in,NULL,NULL,NULL,NULL
265,"2025-11-28 10:36:04",5,1140,102039,canceled,16,Dine-in,NULL,NULL,NULL,NULL
266,"2025-11-26 20:45:52",3,715,127463,canceled,11,Dine-in,NULL,NULL,NULL,NULL
267,"2025-12-06 14:01:05",10,1525,109387,completed,6,Dine-in,NULL,NULL,NULL,NULL
268,"2025-12-11 21:47:52",1,170,306094,pending,8,Dine-in,NULL,NULL,NULL,NULL
269,"2025-11-22 20:56:06",2,600,102577,pending,10,Dine-in,NULL,NULL,NULL,NULL
270,"2025-11-27 17:16:52",4,290,242722,pending,16,Dine-in,NULL,NULL,NULL,NULL
271,"2025-11-30 13:36:03",4,1140,528374,canceled,8,Dine-in,NULL,NULL,NULL,NULL
272,"2025-12-14 18:09:38",2,260,355563,completed,14,Dine-in,NULL,NULL,NULL,NULL
273,"2025-11-25 16:00:04",11,1283,417020,completed,5,Dine-in,NULL,NULL,NULL,NULL
